Gene	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25
MIEN1	19.293658720730733	19.53815402443255	20.403529467633458	20.375851529158094	21.558449757290873	20.623689767125178	13.691017067822678	16.753485048627716	17.095538549539995	16.403364453402695
HTATSF1	112.42391804512341	103.80294459738188	107.19109329377524	105.54261098776033	106.77834819523083	103.90119125076248	45.77434983445587	43.43685982419623	60.6134996684542	60.71677867207305
HDAC2	33.135678582134695	30.722728415727076	31.114049765098866	29.3595494109362	28.6125978077843	29.567777384483193	21.082661400270748	18.507332621827295	24.954585713837535	24.330741054378326
RPL17	6.7434621150450464	6.377095380074099	6.236070614094413	6.224114824449127	5.624431151858402	5.836248031471474	3.2942054226976194	3.2607887360565053	4.390773879776327	4.739398115288957
TIMP1	3.0244241454841165	3.084746921533462	2.8730375734388605	2.5446311208483094	3.6429890511737546	3.0795059818505943	1.3043371851631904	1.109355484035515	1.057936121369258	1.1022884458308089
RPS12	571.932390942852	555.5043511294108	558.9660824303882	561.9012096908696	559.4643488673088	580.1516940877751	983.6996261853889	900.4368604322605	770.0272495602404	728.9047662572747
ZNF417	6.509209543635973	6.240680899422979	6.244947306107713	6.422398650015471	6.106260200956885	5.97763845870136	6.0971151238151275	6.032869013657632	5.775421516970321	6.014275553269606
CDK10	12.778320142686923	13.88779699921823	14.023190870651579	15.658061152752857	14.065293669167492	15.011920493544498	14.279260008739485	15.49772126288077	14.129128293863674	14.080932791655393
IRF1-AS1	5.43234773596478	5.526919122470589	5.768729313506473	6.900494766477765	5.920692962917677	6.282453670774121	4.996228390874362	5.268330443854758	4.868926770929068	4.912085893598463
CCT3	241.25677332231626	240.44716733706528	244.92096551506793	222.99509740911412	236.7257039249257	230.51184912973443	104.43846225154688	112.0407909178657	189.79395049158197	187.52072194345752
PI4KAP1	6.089620166281098	6.76919568767625	6.0598512833284985	6.980479833692159	6.923396903939974	7.245866362322681	10.614231808503964	12.85794937403282	9.010305374797602	8.189590100187157
UBE2FP1	3.241360608939563	3.057784875707666	3.5603888444629224	3.852644573115088	3.5472366782581215	4.432489556404223	2.5043368592331534	2.211958218909584	2.8692586800798554	2.250197330694884
SNORD11B	2.7597870327542564	2.6708169276439717	1.4804593613720245	3.0959678636987764	4.506484154726028	2.6671653503824637	1.5440532083823715	2.1187399796841087	2.482371541927152	2.9504587400071314
RTF2	32.04859846518091	30.167672761752005	31.577057285990175	31.146735518857387	31.84396430287227	31.41316496313918	29.729889067006674	31.103193074614868	31.1475559790373	30.980856396128438
CSAD	1.921590845112447	2.3402688079433447	2.2248869419485056	2.8311426352821987	2.4357668329121984	2.520950236656393	2.699904003315111	3.1827826789961655	2.862470019991612	2.7177279337408877
ADGRE5	10.013960784993893	11.686978737413137	11.898205917609806	12.628928472219538	12.913041790158871	12.290699263517938	12.560558231198288	14.426028952582708	11.127872429328612	10.99380109022321
TMEM14C	20.3603659595719	20.99652669890533	20.518261115022217	20.91159262226446	18.959593803671286	19.229229495414295	39.91318510198271	36.062382548574035	29.7378409015912	30.434368172391476
MOGS	17.591596799296838	18.132775012975035	18.692929501802332	19.5185277768941	20.23024769429	19.50304026950155	25.21809957534166	26.79648122195528	21.920255622528448	22.33636757385619
SUMO2P17	1.6516340643177008	1.8307847583084773	2.081269088649696	2.045100722971753	1.9676007300068472	2.1167978971289396	2.51065562338597	2.794363478174163	3.0833431528002113	3.071122980174952
ALKBH1	9.139071421519679	8.051954360674367	9.121043427782977	8.821779819549844	8.759876642410154	8.502240610301104	7.134631690638606	6.77148318497424	6.515787194507798	6.594559826003968
TEX9	2.5639913311061506	2.3742953874524444	2.317385712057561	2.3402797618331124	2.172795997190227	2.3771068277218226	1.5214488258272243	1.3520487858344539	2.07796116309968	2.159682636266481
PPP5C	24.48388602855247	25.73192225853399	26.129711883467206	25.806630521606778	26.237395169801207	26.382320058634182	16.60476471688208	18.1101282541555	22.708610968217727	22.364391188231014
ORC5	14.127642054603491	14.264966170797177	13.58718209776087	12.331590059152616	12.556817580924756	12.64483677756318	6.480791121820282	5.358210097096375	10.77354919485434	11.553436084217841
ANKS6	9.490366395667454	10.00108735811704	9.965818232323503	10.414982295300996	10.16994131862913	10.087322162632665	7.795428576395005	8.256897667698015	10.886988774515928	10.990076429461386
RNA5SP474	2.989769285483778	2.3566031714505633	2.7758613025725456	2.7089718807364296	4.0057636930898015	2.8576771611240686	4.246146323051522	2.4012386436419897	3.7235573128907276	3.352794022735377
PEPD	12.33963875453886	14.44829454347088	13.95845237685521	14.113617108035829	13.653652816000752	14.063702358530064	5.463018738833429	6.143503863677094	10.037583217745869	10.17135853864563
TRAC	211.6871410093202	222.88935926296227	219.268444268648	270.34320609394223	283.6562642418439	272.87213137713667	138.0254107799886	144.96109867818268	121.1996330542142	121.98959356341068
MYL12BP1	1.2701189499855223	1.239501996818179	1.0950143205414382	1.3739502353692796	1.3168190970051947	1.1648651149881146	0.8375042057300831	0.3343179455122854	0.6528261780216048	0.5554925008082281
ITM2B	22.28928999097294	22.31325657892432	21.57810973235764	21.44799324743744	21.144177553680894	22.038490862972214	17.27475526773319	14.44274069476411	15.88645612949051	15.661658906083144
KDM5A	25.80073772561353	25.426913575897775	25.54764291368671	28.343902592910894	26.82893393329194	27.18011227541423	25.445639033569876	24.788921171521388	27.578039760406153	27.20961070090936
EMC1	20.97895338528179	21.03907168728756	21.09487369394739	22.001654151850307	22.358978445051324	22.276109918641836	12.859358798726678	13.3016878443421	18.032086451649544	16.901313483282912
WASHC3	20.394193416649617	20.099705356498983	19.77862374319768	20.414550000712172	21.653731427372563	22.19613794989488	20.505680174813502	19.685224361509498	23.16004489734503	21.188239051614467
HSPA8P1	2.634821226033796	1.7999151336774624	2.1100382332702754	2.6074197433633315	2.5495859112228234	1.7045246569352508	0.5264774987664933	0.47776642567890426	1.263982599999277	1.2218583781708845
MIR6728	0.6899467581885641	2.5137100495472673	2.035631621886534	0.9674899574058676	0.6676272821816337	1.5240944859328365	5.4041862293383005	3.5312332994735143	2.482371541927152	2.2798999354600564
BLCAP	11.344213984747881	11.820532194785095	11.589317251494817	11.876217650056843	11.503203355737922	11.89357348959956	10.806103460574642	11.187860387457599	11.379309501119241	10.836020064662266
MTRR	13.669684294796841	14.02157293214935	14.147792385133542	13.232803998972129	12.61742152870757	13.52319633975226	10.564078151424901	10.259343660535144	10.753910518122614	11.170518387293063
FRG1CP	9.988137085266755	10.087280355611767	9.844991593594894	9.34469822340821	9.854907834251078	10.492779337346906	14.129667798550285	13.046280022798905	12.072967396744682	12.112397518994527
RBM15B	34.594552629784886	35.588597612334645	36.09513690543206	35.32857350503189	36.76535957998271	34.98181090051534	30.868243677541596	33.36972820257308	32.0102509872601	32.746431475677525
LPAR6	1.9063109497220645	1.8147831790797724	1.8234685875753966	1.7327216946882718	1.4390434927184015	1.6171941324603583	1.5805471424020614	1.1755104192654842	0.7024020674560849	0.8527079338781051
ITM2C	45.10452133796946	47.17062672751316	47.57710895621805	54.79118384209175	55.676575631126674	55.62907463382739	71.08178184391599	76.93477360364976	51.54851066446663	52.308195406249524
B9D1	1.8884359707124092	2.1066307956013697	2.113041596097063	2.3003631832155	2.2749533461124236	2.333335144001405	1.8036009967972133	2.3899527556292957	2.619404124510726	2.52873157147418
TMEM183A	27.87709655322539	27.689374556007717	27.23048808858145	26.64667160812993	26.321827852426665	27.505103391793515	25.87855591746106	26.292600825641134	25.36152163697706	25.39318363111623
RANBP3	23.972786628471606	25.91072916831509	26.107234562394847	26.938894514592082	27.005554539840134	26.78832946586249	22.793052697200334	25.265848649372515	25.158998099952473	24.578168369572666
GMCL1	19.482995454735946	18.621752529991475	18.45682032472333	15.862092019761667	15.491327588232814	16.674934263901076	17.347870101388096	13.90428415731172	17.39032214544015	18.43593540980183
AVPI1	1.990391859986403	2.2166352255098634	2.126477991788908	2.5189920345549135	2.7069251623000783	2.6186714349209645	2.2178218811310426	1.9928996657392342	2.3469694578220346	2.3896277398404866
AC087343.1	1.9851099709285	2.712160842932578	1.9869323007887698	1.8738752859229437	2.1082966805735803	1.644417734822271	4.794691541818943	3.806297788064083	3.8324332577120943	2.597533053403408
CCDC18-AS1	2.144161015825995	2.116303666465226	1.8788178690272042	2.664288867441507	2.0434179423110717	2.3956196506658305	8.452846031290356	8.084110738675266	5.065223949187785	4.970233474977327
ACTR6	13.533858216631737	12.66291639204767	12.564978244599214	10.92352703532112	9.618818391821426	10.546189523195967	11.733927080746716	8.077122920386659	12.761109117049752	13.607118598763703
LRP4	1.8133487247710882	1.9110977691223858	1.865324333304421	2.209032864119835	2.0855677515116025	2.1632610269371653	2.764338055473038	2.9687474556947167	2.998327368238191	3.093368758683136
AC008750.1	0.9816315665284447	0.9899010611784208	0.9779457163534715	0.86523492125728	1.1194969670728614	0.8518820805518903	1.1768698234621735	1.3206238355754605	1.0931852996291658	2.126162063198044
PRR7	4.517789632674376	6.892916417521383	6.371244513775911	6.966457461950533	6.660279012866058	7.550057386679606	7.847087660670163	9.69699383811618	6.79636288001958	7.49043099945809
RNU6-807P	2.3643035327333974	2.642919444617454	1.7295085997336734	2.5317494212489997	2.183827558538054	2.1365810550460322	3.607600954164419	2.640174429512908	1.5466489357801572	3.5094666406202077
SH3BP5L	10.606411024716646	11.13316814460148	11.717609574178141	11.421169657294886	11.23239981060075	11.65625392261831	9.392803056814158	11.05116680330139	9.826304947220937	9.56546766311694
MAT2B	22.519236128223596	23.591378966765298	22.142834170711673	21.09235952901264	20.81806397650562	21.566004037895336	17.120918532371267	15.774016041180017	18.568634297196354	18.981790741798992
