term	gene
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD33
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ENTPD1
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	GP1BA
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD46
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ITGA1
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ITGA4
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ITGA5
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ITGA6
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD52
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD53
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ICAM1
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	NCAM1
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	SELL
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	SELP
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CEACAM1
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CEACAM6
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CEACAM5
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD69
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	TFRC
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD81
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD84
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	LILRB2
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	LILRA2
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	LILRB1
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	LILRB4ITGAM
H_Brain_Glioblastoma_CancerStemCell_27354342	CADM1
H_Brain_Glioblastoma_CancerStemCell_27354342	CLCC1
H_Brain_Glioblastoma_CancerStemCell_27354342	HMOX1
H_Brain_Glioblastoma_CancerStemCell_27354342	SCAMP3
H_Brain_Glioblastoma_CancerStemCell_27354342	SLC16A1
H_Undefined_Normal_MesenchymalStemCell_28096632	ITGB1
H_Undefined_Normal_MesenchymalStemCell_28096632	NT5E
H_Undefined_Normal_MesenchymalStemCell_28096632	THY1
H_Undefined_Normal_MesenchymalStemCell_28096632	ENG
H_Breast_BreastCancer_CancerStemCell_24461456	ALDH1A1
H_Colon_Normal_Cd4+TCell_27835617	CCR6
H_Blood_Normal_Cd4+TCell_27835617	CCR6
H_Lung_Normal_AnteriorForegutEndodermCell_25241738	CPM
H_Breast_BreastCancer_CancerStemCell_24099815	CD24
H_Breast_BreastCancer_CancerStemCell_24099815	CD44
H_BoneMarrow_Normal_DendriticCell_27809931	CD40
H_BoneMarrow_Normal_DendriticCell_27809931	CD80
H_BoneMarrow_Normal_DendriticCell_27809931	CD86
H_BoneMarrow_Normal_DendriticCell_27809931	MHC class II
H_AdiposeTissue_Normal_EndodermProgenitorCell_24094492	PROM1
H_AdiposeTissue_Normal_EndodermProgenitorCell_24094492	PECAM1
H_AdiposeTissue_Normal_EndodermProgenitorCell_24094492	CD34
H_Blood_Normal_NaturalKillerCell_29123958	KLRD1
H_Blood_Normal_CirculatingFetalCell_24217417	ACTB
H_Blood_Normal_CirculatingFetalCell_24217417	ATF4
H_Blood_Normal_CirculatingFetalCell_24217417	CD33
H_Blood_Normal_CirculatingFetalCell_24217417	CD68
H_Blood_Normal_CirculatingFetalCell_24217417	CD9
H_Blood_Normal_CirculatingFetalCell_24217417	CDC42
H_Blood_Normal_CirculatingFetalCell_24217417	CLDN6
H_Blood_Normal_CirculatingFetalCell_24217417	COL1A2
H_Blood_Normal_CirculatingFetalCell_24217417	CRABP1
H_Blood_Normal_CirculatingFetalCell_24217417	CRIP1
H_Blood_Normal_CirculatingFetalCell_24217417	CRYL1
H_Blood_Normal_CirculatingFetalCell_24217417	CTNNB1
H_Blood_Normal_CirculatingFetalCell_24217417	DLX5
H_Blood_Normal_CirculatingFetalCell_24217417	EN1
H_Blood_Normal_CirculatingFetalCell_24217417	F11R
H_Blood_Normal_CirculatingFetalCell_24217417	NA
H_Blood_Normal_CirculatingFetalCell_24217417	FOXA2
H_Blood_Normal_CirculatingFetalCell_24217417	GATA5
H_Blood_Normal_CirculatingFetalCell_24217417	HAMP
H_Blood_Normal_CirculatingFetalCell_24217417	HMGA1
H_Blood_Normal_CirculatingFetalCell_24217417	IL7R
H_Blood_Normal_CirculatingFetalCell_24217417	JUN
H_Blood_Normal_CirculatingFetalCell_24217417	JUNB
H_Blood_Normal_CirculatingFetalCell_24217417	KCNQ4
H_Blood_Normal_CirculatingFetalCell_24217417	MCAM
H_Blood_Normal_CirculatingFetalCell_24217417	MMP9
H_Blood_Normal_CirculatingFetalCell_24217417	NCAM1
H_Blood_Normal_CirculatingFetalCell_24217417	OLIG2
H_Blood_Normal_CirculatingFetalCell_24217417	PBLD
H_Blood_Normal_CirculatingFetalCell_24217417	PDGFC
H_Blood_Normal_CirculatingFetalCell_24217417	PF4
H_Blood_Normal_CirculatingFetalCell_24217417	PUM2
H_Blood_Normal_CirculatingFetalCell_24217417	SELE
H_Blood_Normal_CirculatingFetalCell_24217417	SELPLG
